fort	NNP	O
worth	NNP	O
weekly	NNP	O
http	NN	O
www fwweekly com	JJ	O
occupy	NNP	O
fort	NNP	O
worth	NNP	O
marching	VBG	O
saturday	NNP	O
posted	VBD	O
november	NNP	O
16	CD	O
2011	CD	O
jeff prince	NN	O
blotch	NNP	O
saturday	NNP	O
offer	VBZ	O
opportunity	NN	O
see	VB	O
movement	NN	O
close	NN	O
personal	JJ	O
occupy	NNP	Info
fort	NNP	Info
worth	NNP	Info
meet	VB	Info
1	CD	Info
p m	NN	Info
saturday	NNP	Info
burnett	NNP	Info
park	NNP	Info
501	CD	Info
w	NNP	Info
7th	JJ	Info
st	NNP	Info
downtown	NN	Info
fort	NNP	Info
worth	NNP	Info
2	CD	Info
p m	NN	Info
peaceful	NNP	Info
march	NN	Info
begin	VBZ	Info
bring	VB	Info
sign	NNS	Info
like	IN	Info
3	CD	Info
p m	NN	Info
workshop	NNP	Info
discussion	NN	Info
group	NNS	Info
4	CD	Info
p m	NN	Info
live	NNP	Info
music	NN	Info
singer songwriter	NN	Info
jody	NNP	Info
jones	NNP	Info
rising	VBG	Info
lost	JJ	O
generation	NN	O
find	VBZ	O
place	NN	O
north	NNP	O
texas	NNP	O
protest	VBZ	O
fast spreading	JJ	O
occupy	NNP	O
movement	NN	O
posted	VBD	O
october	NNP	O
19	CD	O
2011	CD	O
steve	NNP	O
watkins	NNP	O
news	NNP	O
understand	VB	Opinionor
frustration	NN	Opinionor
president	NN	Opinionor
dallas	NNP	Opinionor
federal	NNP	Opinionor
reserve	NNP	Opinionor
bank	NNP	Opinionor
told	VBD	Opinionor
fort	NNP	Opinionor
worth	NNP	Opinionor
business	NN	Opinionor
leader	NNS	Opinionor
last	JJ	Opinionor
week	NN	Opinionor
occupy	NNP	O
protest	NNS	O
began	VBD	O
fort	NNP	O
worth	NNP	O
dallas	NNP	O
day	NNS	O
apart	RB	O
dramatic	JJ	O
difference	NNS	O
group	NN	Protester
gathered	VBD	Protester
burnett	NNP	Protester
park	NNP	Protester
occupy	NNP	Protester
fort	NNP	Protester
worth	NNP	Protester
relatively	RB	Protester
small	JJ	Protester
maybe	RB	Protester
100	CD	Protester
protester	NNS	Protester
group	NN	Camp
gathered	VBD	Camp
burnett	NNP	Camp
park	NNP	Camp
occupy	NNP	Camp
fort	NNP	Camp
worth	NNP	Camp
relatively	RB	Camp
small	JJ	Camp
maybe	RB	Camp
100	CD	Camp
protester	NNS	Camp
watched	VBN	Protester
dozen	NN	Protester
bicycle	JJ	Protester
cop	NNS	Protester
speech	NNS	Camp
made	VBN	Camp
committee	NNS	Camp
formed	VBN	Camp
although	IN	Camp
time	NNS	Camp
seemed	VBD	Camp
many	JJ	Camp
committee	NNS	Camp
member	NNS	Camp
group	NN	Protester
made	VBD	Protester
spirited	JJ	Protester
march	NN	Protester
downtown	NN	Protester
without	IN	Protester
incident	NN	Protester
fort	NNP	Protester
worth	NNP	Protester
march	NN	Protester
went	VBD	Protester
block	NNS	Protester
past	JJ	Protester
bank	NNP	Protester
america	NNP	Protester
back	RB	Protester
according	VBG	O
reuters	NNP	O
news	NNP	O
service	NNP	O
fisher	NNP	Opinionor
told	VBD	Opinionor
group	NN	Opinionor
fort	NNP	Opinionor
worth	NNP	Opinionor
business	NN	Opinionor
leader	NNS	Opinionor
somewhat	RB	Opinionor
sympathetic	JJ	Opinionor
uneven	JJ	Opinionor
distribution	NN	Opinionor
income	NN	Opinionor
many	JJ	Opinionor
people	NNS	Opinionor
work	NN	Opinionor
long	JJ	Opinionor
said	VBD	Opinionor
frustrated	JJ	Opinionor
people	NNS	Opinionor
understand	VB	Opinionor
frustration	NN	Opinionor
fort	NNP	Opinionor
worth	NNP	Opinionor
marine	NNP	Opinionor
marched	VBN	Opinionor
slogan	JJ	Opinionor
iraq	NNP	Opinionor
afghanistan	NNP	Opinionor
veteran	NNS	Opinionor
99	CD	Opinionor
written	VBN	Opinionor
black	JJ	Opinionor
marker	NN	Opinionor
across	IN	Opinionor
back	NN	Opinionor
shirt	NN	Opinionor
occupy	NNP	O
fort	NNP	O
worth	NNP	O
took	VBD	O
cue	NNS	O
bigger	JJR	O
protest	NN	O
dallas	NNP	O
state	NNP	Legal_Action
rep	NNP	Legal_Action
lon	NNP	Legal_Action
burnam	NNP	Legal_Action
donated	VBD	Legal_Action
rental	NN	Legal_Action
portable	JJ	Legal_Action
toilet	NN	Legal_Action
burnett	NNP	Legal_Action
park	NNP	Legal_Action
group	NN	Legal_Action
fort	NNP	Legal_Action
worth	NNP	Legal_Action
official	NNS	Legal_Action
demanded	VBD	Legal_Action
protester	NNS	Legal_Action
obtain	VB	Legal_Action
80 a day	JJ	Legal_Action
potty	JJ	Legal_Action
permit	NN	Legal_Action
state	NNP	Camp
rep	NNP	Camp
lon	NNP	Camp
burnam	NNP	Camp
donated	VBD	Camp
rental	NN	Camp
portable	JJ	Camp
toilet	NN	Camp
burnett	NNP	Camp
park	NNP	Camp
group	NN	Camp
fort	NNP	Camp
worth	NNP	Camp
official	NNS	Camp
demanded	VBD	Camp
protester	NNS	Camp
obtain	VB	Camp
80 a day	JJ	Camp
potty	NN	Camp
permit	NN	Camp
seen	VBN	O
disagreement	NNS	O
dallas	NNP	O
similar	JJ	O
permit	NN	O
fort	NNP	Legal_Action
worth	NNP	Legal_Action
group	NN	Legal_Action
sent	VBD	Legal_Action
toilet	NN	Legal_Action
back	RB	Legal_Action
thanks	NNS	Legal_Action
fort	NNP	Camp
worth	NNP	Camp
group	NN	Camp
sent	VBD	Camp
toilet	NN	Camp
back	RB	Camp
thanks	NNS	Camp
